,Name,Category,Location,Condition,Price,Quantity,Value,Purchase_Year
0,Adapter 3.5 female to 6.5 male,AUDIO,STORAGE ROOM,Good,49000,5,245000,2020
1,Adapter 3.5mm 1 Male to 2 Female 3.5mm Audio,AUDIO,STORAGE ROOM,Fair,4200,1,4200,2020
2,Adapter 3.5mm Female to 6.5mm Male Audio,AUDIO,STORAGE ROOM,Good,7000,1,7000,2020
3,Adapter 6.5mm Stereo Male To 2 RCA Female,AUDIO,STORAGE ROOM,Good,8000,1,8000,2020
4,Adapter Displayport to DVI Female,NETWORKING & PERIPHERAL,STORAGE ROOM,Good,50000,1,50000,2019
5,Adapter Dual RCA female to female,NETWORKING & PERIPHERAL,STORAGE ROOM,Good,30000,2,60000,2020
6,Adapter DVI 13 Pin Male To VGA,NETWORKING & PERIPHERAL,STORAGE ROOM,Good,125000,1,125000,2020
7,Adapter Female to Female 3.5mm,AUDIO,STORAGE ROOM,Good,10500,1,10500,2020
8,Adapter Firewire 800 to firewire 400 female,NETWORKING & PERIPHERAL,STORAGE ROOM,Good,104000,1,104000,2019
9,Adapter HDMI Female to DVI 24 Pin Male,NETWORKING & PERIPHERAL,STORAGE ROOM,Good,25000,5,125000,2020
10,Adapter HDMI Female to Female,NETWORKING & PERIPHERAL,STORAGE ROOM,Good,25000,4,100000,2020
11,Adapter HDMI Male to DVI Female,NETWORKING & PERIPHERAL,STORAGE ROOM,Good,15000,5,75000,2021
12,Adapter HDMI to HDMI male,NETWORKING & PERIPHERAL,STORAGE ROOM,Good,85000,3,255000,2020
13,Adapter Jack 3.5 male to 6.5 female,AUDIO,STORAGE ROOM,Fair,40000,2,80000,2021
14,Adapter Micro Male to HDMI Female,NETWORKING & PERIPHERAL,STORAGE ROOM,Good,40000,2,80000,2020
15,Adapter Mini DisplayPort to HDMI female,NETWORKING & PERIPHERAL,STORAGE ROOM,Fair,112500,5,562500,2021
16,Adapter Mini Male to HDMI Female,NETWORKING & PERIPHERAL,STORAGE ROOM,Good,10000,3,30000,2021
17,Adapter rca female to 3.5mm,AUDIO,STORAGE ROOM,Fair,20000,1,20000,2019
18,ADAPTER Thunderbolt,NETWORKING & PERIPHERAL,SUITE,Good,301000,2,602000,2021
19,ADAPTER Thunderbolt 3 to Thunderbolt 2,NETWORKING & PERIPHERAL,SUITE,Good,225000,5,1125000,2020
